section_name,section_url,page_url,page_title,pdf_url,filename
Payment Systems,https://rulebook.sama.gov.sa/en/payment-systems-and-payment-services-providers,https://rulebook.sama.gov.sa/en/frequently-asked-questions-faqs-rules-issuance-and-operation-credit-cards,Frequently Asked Questions (FAQs) - Rules of Issuance and Operation of Credit Cards | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_10571_VER1.pdf,SAMA_EN_10571_VER1.pdf
Payment Systems,https://rulebook.sama.gov.sa/en/payment-systems-and-payment-services-providers,https://rulebook.sama.gov.sa/en/controls-finance-natural-or-legal-person-regarding-goods-their-institution-or-services-their,Controls for the Finance of a Natural or Legal Person Regarding the Goods of Their Institution or Services to Their Consumers | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_9380_VER1.pdf,SAMA_EN_9380_VER1.pdf
Payment Systems,https://rulebook.sama.gov.sa/en/payment-systems-and-payment-services-providers,https://rulebook.sama.gov.sa/en/responsibilities-head-contracts-register-and-registrars,Responsibilities of the Head of the Contracts Register and the Registrars | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_6398_VER1.pdf,SAMA_EN_6398_VER1.pdf
Payment Systems,https://rulebook.sama.gov.sa/en/payment-systems-and-payment-services-providers,https://rulebook.sama.gov.sa/en/transfer-real-estate-financing-debts,Transfer of The Real Estate Financing Debts | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_6066_VER1.pdf,SAMA_EN_6066_VER1.pdf
Payment Systems,https://rulebook.sama.gov.sa/en/payment-systems-and-payment-services-providers,https://rulebook.sama.gov.sa/en/instructions-purchase-consumer-financing-debts-between-financing-companies,Instructions for the Purchase of Consumer Financing Debts Between Financing Companies | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_2082_VER1.pdf,SAMA_EN_2082_VER1.pdf
Payment Systems,https://rulebook.sama.gov.sa/en/payment-systems-and-payment-services-providers,https://rulebook.sama.gov.sa/en/rules-engaging-debt-based-crowdfunding,Rules for Engaging in Debt-Based Crowdfunding | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_2675_VER1_0.pdf,SAMA_EN_2675_VER1_0.pdf
Payment Systems,https://rulebook.sama.gov.sa/en/payment-systems-and-payment-services-providers,https://rulebook.sama.gov.sa/en/samas-guideline-document-internal-capital-adequacy-assessment-plan-icaap,SAMA'S Guideline Document on the Internal Capital Adequacy Assessment Plan (ICAAP) | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_2797_VER1.pdf,SAMA_EN_2797_VER1.pdf
Payment Systems,https://rulebook.sama.gov.sa/en/payment-systems-and-payment-services-providers,https://rulebook.sama.gov.sa/en/enhancements-icaap-document,Enhancements to the ICAAP Document | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_8679_VER1.pdf,SAMA_EN_8679_VER1.pdf
Payment Systems,https://rulebook.sama.gov.sa/en/payment-systems-and-payment-services-providers,https://rulebook.sama.gov.sa/en/guidelines-internal-liquidity-adequacy-assessment-plan-ilaap,Guidelines on the Internal Liquidity Adequacy Assessment Plan (ILAAP) | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_3144_VER1.pdf,SAMA_EN_3144_VER1.pdf
Payment Systems,https://rulebook.sama.gov.sa/en/payment-systems-and-payment-services-providers,https://rulebook.sama.gov.sa/en/interest-rate-risk-banking-book-irrbb,Interest Rate Risk in the Banking Book (IRRBB) | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_8984_VER1.pdf,SAMA_EN_8984_VER1.pdf
